order_id,customer_id,product_id,order_date,quantity,discount,price,sales,profit
101,344,151,2023-01-05 04:00:00,4,0.04,107.03,411.0,85.72
102,72,162,2023-01-05 05:00:00,3,0.23,1253.01,2894.45,729.47
103,395,26,2023-01-05 06:00:00,9,0.11,200.06,1602.48,414.87
104,64,47,2023-01-05 07:00:00,4,0.07,733.89,2730.07,530.94
105,205,5,2023-01-05 08:00:00,4,0.11,126.88,451.69,24.56
106,209,20,2023-01-05 09:00:00,9,0.19,672.25,4900.7,1438.0
107,72,134,2023-01-05 10:00:00,2,0.16,1372.13,2305.18,387.38
108,277,198,2023-01-05 11:00:00,5,0.22,1382.43,5391.48,800.09
109,274,59,2023-01-05 12:00:00,4,0.1,265.42,955.51,142.12
110,478,192,2023-01-05 13:00:00,9,0.14,1528.61,11831.44,1846.15
111,320,146,2023-01-05 14:00:00,5,0.03,1256.29,6093.01,673.55
112,338,132,2023-01-05 15:00:00,9,0.02,1658.13,14624.71,1928.03
113,366,17,2023-01-05 16:00:00,9,0.14,974.72,7544.33,2235.68
114,495,14,2023-01-05 17:00:00,2,0.09,1852.57,3371.68,478.92
115,95,13,2023-01-05 18:00:00,9,0.18,629.83,4648.15,844.48
116,166,135,2023-01-05 19:00:00,3,0.01,1153.18,3424.94,897.59
117,32,128,2023-01-05 20:00:00,4,0.04,1709.85,6565.82,1194.04
118,11,44,2023-01-05 21:00:00,1,0.26,1881.18,1392.07,182.52
119,301,119,2023-01-05 22:00:00,1,0.17,846.48,702.58,127.12
120,217,143,2023-01-05 23:00:00,1,0.21,1682.18,1328.92,104.35
121,289,19,2023-01-06 00:00:00,9,0.25,1696.87,11453.87,944.96
122,102,63,2023-01-06 01:00:00,8,0.14,505.54,3478.12,777.45
123,425,163,2023-01-06 02:00:00,5,0.23,1963.31,7558.74,2111.65
124,392,81,2023-01-06 03:00:00,5,0.16,501.76,2107.39,487.69
125,267,163,2023-01-06 04:00:00,9,0.07,1963.31,16432.9,1128.17
126,214,147,2023-01-06 05:00:00,3,0.1,1517.8,4098.06,617.68
127,179,148,2023-01-06 06:00:00,3,0.15,359.28,916.16,46.39
128,88,100,2023-01-06 07:00:00,7,0.1,1407.24,8865.61,1576.32
129,41,163,2023-01-06 08:00:00,9,0.1,1963.31,15902.81,1563.26
130,401,160,2023-01-06 09:00:00,6,0.1,62.45,337.23,90.05
131,76,122,2023-01-06 10:00:00,2,0.04,1460.67,2804.49,213.38
132,377,176,2023-01-06 11:00:00,1,0.03,249.89,242.39,12.21
133,46,44,2023-01-06 12:00:00,2,0.01,1881.18,3724.74,606.34
134,160,104,2023-01-06 13:00:00,1,0.03,486.44,471.85,41.93
135,463,152,2023-01-06 14:00:00,9,0.1,1660.34,13448.75,3153.69
136,80,61,2023-01-06 15:00:00,8,0.18,610.12,4002.39,1120.6
137,310,125,2023-01-06 16:00:00,7,0.06,479.36,3154.19,190.78
138,86,145,2023-01-06 17:00:00,3,0.27,1376.27,3014.03,448.78
139,92,71,2023-01-06 18:00:00,8,0.24,1902.42,11566.71,3460.8
140,148,107,2023-01-06 19:00:00,2,0.16,1181.17,1984.37,462.69
141,161,50,2023-01-06 20:00:00,2,0.22,985.76,1537.79,443.34
142,202,65,2023-01-06 21:00:00,3,0.11,84.85,226.55,20.62
143,424,99,2023-01-06 22:00:00,7,0.01,1528.57,10592.99,1115.89
144,416,32,2023-01-06 23:00:00,1,0.27,1102.01,804.47,71.36
145,242,164,2023-01-07 00:00:00,8,0.04,1282.04,9846.07,1236.59
146,353,141,2023-01-07 01:00:00,7,0.28,1741.22,8775.75,2028.04
147,2,198,2023-01-07 02:00:00,4,0.17,1382.43,4589.67,418.75
148,225,58,2023-01-07 03:00:00,5,0.09,515.62,2346.07,424.78
149,289,128,2023-01-07 04:00:00,1,0.15,1709.85,1453.37,170.48
150,233,142,2023-01-07 05:00:00,4,0.15,1431.31,4866.45,1252.13
151,461,165,2023-01-07 06:00:00,1,0.01,556.62,551.05,28.46
152,414,112,2023-01-07 07:00:00,1,0.11,1783.06,1586.92,167.86
153,417,68,2023-01-07 08:00:00,1,0.22,799.44,623.56,125.53
154,77,40,2023-01-07 09:00:00,7,0.15,1746.69,10392.81,770.91
155,116,187,2023-01-07 10:00:00,7,0.07,1749.5,11389.24,1897.2
156,154,144,2023-01-07 11:00:00,4,0.1,1410.07,5076.25,807.39
157,406,190,2023-01-07 12:00:00,2,0.26,1511.82,2237.49,588.75
158,103,132,2023-01-07 13:00:00,3,0.16,1658.13,4178.49,862.23
159,194,173,2023-01-07 14:00:00,8,0.16,716.65,4815.89,1010.98
160,166,90,2023-01-07 15:00:00,8,0.29,1570.19,8918.68,2568.15
161,359,28,2023-01-07 16:00:00,6,0.1,712.76,3848.9,1137.7
162,90,96,2023-01-07 17:00:00,9,0.14,1990.07,15403.14,3286.24
163,174,194,2023-01-07 18:00:00,9,0.24,93.14,637.08,114.99
164,122,31,2023-01-07 19:00:00,4,0.23,664.82,2047.65,413.58
165,498,3,2023-01-07 20:00:00,1,0.08,1975.95,1817.87,264.7
166,143,136,2023-01-07 21:00:00,1,0.05,570.71,542.17,160.95
167,482,24,2023-01-07 22:00:00,5,0.21,498.52,1969.15,445.53
168,106,15,2023-01-07 23:00:00,2,0.08,1943.56,3576.15,438.98
169,375,171,2023-01-08 00:00:00,6,0.28,1105.47,4775.63,307.75
170,428,159,2023-01-08 01:00:00,7,0.04,1039.56,6985.84,427.4
171,305,45,2023-01-08 02:00:00,1,0.1,1607.63,1446.87,146.46
172,360,194,2023-01-08 03:00:00,6,0.02,93.14,547.66,59.27
173,459,8,2023-01-08 04:00:00,8,0.21,402.12,2541.4,390.77
174,317,71,2023-01-08 05:00:00,5,0.27,1902.42,6943.83,720.16
175,451,108,2023-01-08 06:00:00,7,0.19,228.4,1295.03,269.01
176,123,115,2023-01-08 07:00:00,6,0.28,1628.56,7035.38,723.33
177,390,103,2023-01-08 08:00:00,4,0.04,487.66,1872.61,181.59
178,9,125,2023-01-08 09:00:00,7,0.03,479.36,3254.85,546.19
179,262,57,2023-01-08 10:00:00,9,0.25,1488.29,10045.96,2734.18
180,73,30,2023-01-08 11:00:00,7,0.26,177.44,919.14,153.57
181,359,146,2023-01-08 12:00:00,5,0.25,1256.29,4711.09,722.97
182,223,114,2023-01-08 13:00:00,7,0.24,1731.15,9209.72,1791.51
183,416,197,2023-01-08 14:00:00,3,0.11,1552.29,4144.61,473.74
184,41,117,2023-01-08 15:00:00,2,0.07,1124.17,2090.96,289.3
185,370,167,2023-01-08 16:00:00,5,0.28,1102.97,3970.69,410.8
186,204,60,2023-01-08 17:00:00,4,0.09,741.51,2699.1,520.8
187,264,98,2023-01-08 18:00:00,5,0.12,822.67,3619.75,812.08
188,328,171,2023-01-08 19:00:00,8,0.21,1105.47,6986.57,1526.04
189,178,126,2023-01-08 20:00:00,4,0.09,1382.35,5031.75,572.13
190,348,173,2023-01-08 21:00:00,9,0.25,716.65,4837.39,1184.74
191,318,151,2023-01-08 22:00:00,7,0.02,107.03,734.23,83.69
192,84,197,2023-01-08 23:00:00,7,0.24,1552.29,8258.18,723.23
193,318,94,2023-01-09 00:00:00,8,0.18,1773.38,11633.37,1599.03
194,111,134,2023-01-09 01:00:00,6,0.17,1372.13,6833.21,1362.79
195,251,184,2023-01-09 02:00:00,8,0.14,724.47,4984.35,426.16
196,383,122,2023-01-09 03:00:00,3,0.08,1460.67,4031.45,854.76
197,7,108,2023-01-09 04:00:00,1,0.14,228.4,196.42,52.2
198,459,4,2023-01-09 05:00:00,6,0.14,1890.92,9757.15,1202.91
199,84,93,2023-01-09 06:00:00,1,0.18,1939.75,1590.6,258.55
200,208,151,2023-01-09 07:00:00,9,0.08,107.03,886.21,94.89
201,388,6,2023-01-09 08:00:00,2,0.02,1425.87,2794.71,392.14
202,390,32,2023-01-09 09:00:00,2,0.04,1102.01,2115.86,117.41
203,314,106,2023-01-09 10:00:00,7,0.21,1206.23,6670.45,1924.04
204,22,146,2023-01-09 11:00:00,2,0.01,1256.29,2487.45,383.0
205,410,15,2023-01-09 12:00:00,8,0.26,1943.56,11505.88,2844.46
206,383,168,2023-01-09 13:00:00,6,0.21,1570.7,7445.12,637.76
207,3,122,2023-01-09 14:00:00,7,0.23,1460.67,7873.01,1992.57
208,127,96,2023-01-09 15:00:00,7,0.25,1990.07,10447.87,2769.07
209,297,6,2023-01-09 16:00:00,6,0.04,1425.87,8213.01,1879.71
210,188,112,2023-01-09 17:00:00,9,0.25,1783.06,12035.66,3319.46
211,362,120,2023-01-09 18:00:00,9,0.15,776.74,5942.06,545.48
212,14,123,2023-01-09 19:00:00,7,0.27,1016.96,5196.67,878.86
213,459,191,2023-01-09 20:00:00,9,0.27,303.67,1995.11,409.05
214,466,67,2023-01-09 21:00:00,3,0.01,884.16,2625.96,522.69
215,12,106,2023-01-09 22:00:00,3,0.11,1206.23,3220.63,854.31
216,87,139,2023-01-09 23:00:00,1,0.16,1333.98,1120.54,116.45
217,12,43,2023-01-10 00:00:00,5,0.2,1081.43,4325.72,406.23
218,397,145,2023-01-10 01:00:00,4,0.09,1376.27,5009.62,567.81
219,25,96,2023-01-10 02:00:00,2,0.08,1990.07,3661.73,999.24
220,301,132,2023-01-10 03:00:00,9,0.11,1658.13,13281.62,3788.67
221,243,191,2023-01-10 04:00:00,3,0.15,303.67,774.36,148.99
222,122,196,2023-01-10 05:00:00,8,0.29,1002.85,5696.19,998.79
223,147,81,2023-01-10 06:00:00,6,0.23,501.76,2318.13,466.75
224,55,41,2023-01-10 07:00:00,5,0.13,91.48,397.94,81.21
225,238,133,2023-01-10 08:00:00,1,0.02,728.23,713.67,66.07
226,356,160,2023-01-10 09:00:00,4,0.05,62.45,237.31,52.59
227,173,198,2023-01-10 10:00:00,3,0.14,1382.43,3566.67,581.68
228,392,35,2023-01-10 11:00:00,1,0.24,1270.49,965.57,173.17
229,221,22,2023-01-10 12:00:00,5,0.11,122.16,543.61,31.3
230,119,193,2023-01-10 13:00:00,6,0.16,97.94,493.62,119.03
231,309,150,2023-01-10 14:00:00,2,0.27,1750.09,2555.13,661.41
232,183,112,2023-01-10 15:00:00,3,0.27,1783.06,3904.9,799.94
233,288,11,2023-01-10 16:00:00,6,0.06,116.19,655.31,155.43
234,307,3,2023-01-10 17:00:00,4,0.01,1975.95,7824.76,1413.75
235,300,137,2023-01-10 18:00:00,9,0.09,1763.33,14441.67,2954.6
236,82,60,2023-01-10 19:00:00,5,0.21,741.51,2928.96,435.37
237,454,76,2023-01-10 20:00:00,4,0.29,1892.23,5373.93,1332.57
238,402,87,2023-01-10 21:00:00,2,0.02,394.23,772.69,129.09
239,211,14,2023-01-10 22:00:00,6,0.01,1852.57,11004.27,2421.53
240,150,18,2023-01-10 23:00:00,2,0.27,1730.98,2527.23,518.99
241,37,113,2023-01-11 00:00:00,7,0.22,1913.52,10447.82,2356.8
242,352,73,2023-01-11 01:00:00,3,0.3,224.35,471.13,116.04
243,312,23,2023-01-11 02:00:00,9,0.12,1212.73,9604.82,1711.37
244,361,83,2023-01-11 03:00:00,5,0.12,1316.81,5793.96,1467.42
245,59,125,2023-01-11 04:00:00,8,0.05,479.36,3643.14,635.05
246,131,175,2023-01-11 05:00:00,6,0.03,1867.45,10868.56,3142.74
247,412,69,2023-01-11 06:00:00,8,0.17,1375.31,9132.06,2174.96
248,202,47,2023-01-11 07:00:00,3,0.11,733.89,1959.49,181.81
249,243,116,2023-01-11 08:00:00,3,0.02,1327.72,3903.5,1004.75
250,35,30,2023-01-11 09:00:00,5,0.27,177.44,647.66,121.69
251,445,25,2023-01-11 10:00:00,3,0.06,285.11,804.01,238.08
252,93,156,2023-01-11 11:00:00,8,0.22,363.48,2268.12,521.0
253,438,112,2023-01-11 12:00:00,8,0.08,1783.06,13123.32,933.04
254,447,25,2023-01-11 13:00:00,2,0.24,285.11,433.37,64.46
255,207,74,2023-01-11 14:00:00,4,0.04,864.28,3318.84,595.13
256,353,58,2023-01-11 15:00:00,1,0.23,515.62,397.03,103.13
257,391,94,2023-01-11 16:00:00,4,0.03,1773.38,6880.71,1598.64
258,332,119,2023-01-11 17:00:00,4,0.13,846.48,2945.75,419.3
259,305,127,2023-01-11 18:00:00,9,0.22,198.46,1393.19,297.25
260,350,169,2023-01-11 19:00:00,3,0.05,258.61,737.04,143.15
261,213,25,2023-01-11 20:00:00,2,0.09,285.11,518.9,42.3
262,159,78,2023-01-11 21:00:00,9,0.26,1246.15,8299.36,902.26
263,442,99,2023-01-11 22:00:00,9,0.27,1528.57,10042.7,1358.58
264,445,116,2023-01-11 23:00:00,1,0.01,1327.72,1314.44,129.96
265,24,48,2023-01-12 00:00:00,6,0.05,1546.02,8812.31,771.37
266,404,10,2023-01-12 01:00:00,8,0.04,1835.2,14094.34,909.78
267,293,99,2023-01-12 02:00:00,3,0.05,1528.57,4356.42,1168.72
268,4,11,2023-01-12 03:00:00,9,0.29,116.19,742.45,90.75
269,220,85,2023-01-12 04:00:00,2,0.17,1049.74,1742.57,213.6
270,364,149,2023-01-12 05:00:00,6,0.14,1767.7,9121.33,926.34
271,382,173,2023-01-12 06:00:00,1,0.3,716.65,501.66,84.7
272,20,135,2023-01-12 07:00:00,7,0.17,1153.18,6699.98,1196.35
273,444,192,2023-01-12 08:00:00,3,0.2,1528.61,3668.66,374.46
274,152,126,2023-01-12 09:00:00,7,0.1,1382.35,8708.8,1760.42
275,50,64,2023-01-12 10:00:00,4,0.11,132.08,470.2,108.5
276,177,2,2023-01-12 11:00:00,9,0.18,481.36,3552.44,509.63
277,435,76,2023-01-12 12:00:00,5,0.02,1892.23,9271.93,1820.66
278,96,121,2023-01-12 13:00:00,3,0.08,556.52,1536.0,269.68
279,105,42,2023-01-12 14:00:00,8,0.06,1755.67,13202.64,1305.57
280,420,54,2023-01-12 15:00:00,6,0.0,1548.13,9288.78,2159.67
281,250,75,2023-01-12 16:00:00,2,0.16,1764.28,2963.99,742.07
282,117,16,2023-01-12 17:00:00,3,0.17,1891.32,4709.39,999.32
283,354,18,2023-01-12 18:00:00,8,0.12,1730.98,12186.1,1596.06
284,228,187,2023-01-12 19:00:00,7,0.08,1749.5,11266.78,3173.83
285,66,90,2023-01-12 20:00:00,6,0.2,1570.19,7536.91,1234.84
286,335,144,2023-01-12 21:00:00,1,0.04,1410.07,1353.67,157.66
287,418,6,2023-01-12 22:00:00,9,0.16,1425.87,10779.58,1639.13
288,420,185,2023-01-12 23:00:00,3,0.23,1260.79,2912.42,649.52
289,262,108,2023-01-13 00:00:00,5,0.05,228.4,1084.9,283.68
290,295,175,2023-01-13 01:00:00,7,0.23,1867.45,10065.56,1400.56
291,426,48,2023-01-13 02:00:00,7,0.23,1546.02,8333.05,901.27
292,243,42,2023-01-13 03:00:00,3,0.02,1755.67,5161.67,1066.52
293,371,76,2023-01-13 04:00:00,4,0.01,1892.23,7493.23,2100.38
294,186,188,2023-01-13 05:00:00,7,0.29,1948.3,9683.05,927.86
295,246,77,2023-01-13 06:00:00,8,0.06,961.43,7229.95,1812.94
296,125,132,2023-01-13 07:00:00,2,0.25,1658.13,2487.2,420.71
297,268,130,2023-01-13 08:00:00,9,0.17,987.14,7373.94,1842.59
298,131,59,2023-01-13 09:00:00,7,0.08,265.42,1709.3,301.5
299,237,155,2023-01-13 10:00:00,8,0.04,1499.84,11518.77,1662.53
300,18,27,2023-01-13 11:00:00,6,0.15,1407.76,7179.58,1609.56
301,40,79,2023-01-13 12:00:00,6,0.12,375.72,1983.8,545.86
302,21,72,2023-01-13 13:00:00,9,0.21,1583.37,11257.76,1464.22
303,399,7,2023-01-13 14:00:00,4,0.27,1854.23,5414.35,894.38
304,225,191,2023-01-13 15:00:00,5,0.24,303.67,1153.95,123.88
305,355,111,2023-01-13 16:00:00,9,0.08,302.55,2505.11,240.12
306,282,119,2023-01-13 17:00:00,1,0.26,846.48,626.4,153.14
307,8,174,2023-01-13 18:00:00,4,0.25,1283.61,3850.83,385.72
308,100,63,2023-01-13 19:00:00,7,0.28,505.54,2547.92,632.72
309,240,124,2023-01-13 20:00:00,9,0.14,208.04,1610.23,253.3
310,478,12,2023-01-13 21:00:00,6,0.23,1409.97,6514.06,1946.15
311,87,141,2023-01-13 22:00:00,8,0.18,1741.22,11422.4,1134.65
312,298,43,2023-01-13 23:00:00,9,0.09,1081.43,8856.91,648.72
313,428,17,2023-01-14 00:00:00,4,0.3,974.72,2729.22,187.93
314,14,63,2023-01-14 01:00:00,1,0.01,505.54,500.48,129.55
315,334,120,2023-01-14 02:00:00,8,0.05,776.74,5903.22,941.23
316,2,36,2023-01-14 03:00:00,2,0.27,1777.66,2595.38,131.8
317,375,8,2023-01-14 04:00:00,1,0.02,402.12,394.08,105.89
318,293,69,2023-01-14 05:00:00,7,0.27,1375.31,7027.83,1892.1
319,325,90,2023-01-14 06:00:00,9,0.21,1570.19,11164.05,2808.92
320,422,36,2023-01-14 07:00:00,9,0.01,1777.66,15838.95,1775.22
321,493,28,2023-01-14 08:00:00,3,0.13,712.76,1860.3,266.37
322,41,118,2023-01-14 09:00:00,6,0.23,219.62,1014.64,239.69
323,318,93,2023-01-14 10:00:00,7,0.17,1939.75,11269.95,1942.24
324,316,175,2023-01-14 11:00:00,9,0.28,1867.45,12101.08,1070.42
325,381,76,2023-01-14 12:00:00,2,0.26,1892.23,2800.5,310.01
326,111,101,2023-01-14 13:00:00,8,0.1,350.1,2520.72,738.94
327,14,158,2023-01-14 14:00:00,7,0.03,1672.66,11357.36,996.65
328,231,151,2023-01-14 15:00:00,4,0.28,107.03,308.25,71.37
329,473,144,2023-01-14 16:00:00,2,0.16,1410.07,2368.92,401.54
330,84,14,2023-01-14 17:00:00,8,0.02,1852.57,14524.15,3444.41
331,130,71,2023-01-14 18:00:00,5,0.24,1902.42,7229.2,1556.29
332,231,180,2023-01-14 19:00:00,6,0.26,636.88,2827.75,451.85
333,326,124,2023-01-14 20:00:00,7,0.19,208.04,1179.59,163.35
334,145,125,2023-01-14 21:00:00,1,0.13,479.36,417.04,99.5
335,379,37,2023-01-14 22:00:00,8,0.2,1250.93,8005.95,1047.06
336,345,29,2023-01-14 23:00:00,4,0.21,1463.3,4624.03,1141.87
337,28,195,2023-01-15 00:00:00,9,0.27,681.04,4474.43,984.2
338,66,143,2023-01-15 01:00:00,1,0.29,1682.18,1194.35,232.2
339,163,175,2023-01-15 02:00:00,2,0.15,1867.45,3174.66,451.44
340,229,174,2023-01-15 03:00:00,6,0.24,1283.61,5853.26,592.76
341,261,180,2023-01-15 04:00:00,1,0.29,636.88,452.18,102.92
342,449,19,2023-01-15 05:00:00,4,0.05,1696.87,6448.11,469.66
343,424,106,2023-01-15 06:00:00,8,0.01,1206.23,9553.34,2795.65
344,460,21,2023-01-15 07:00:00,5,0.26,1666.39,6165.64,1816.93
345,440,64,2023-01-15 08:00:00,9,0.06,132.08,1117.4,92.25
346,164,165,2023-01-15 09:00:00,6,0.01,556.62,3306.32,251.23
347,301,27,2023-01-15 10:00:00,1,0.05,1407.76,1337.37,204.86
348,407,55,2023-01-15 11:00:00,6,0.12,864.65,4565.35,1328.16
349,303,29,2023-01-15 12:00:00,6,0.07,1463.3,8165.21,1225.42
350,287,148,2023-01-15 13:00:00,6,0.09,359.28,1961.67,276.5
351,395,25,2023-01-15 14:00:00,8,0.29,285.11,1619.42,365.82
352,10,70,2023-01-15 15:00:00,6,0.21,475.6,2254.34,213.45
353,195,63,2023-01-15 16:00:00,5,0.21,505.54,1996.88,281.22
354,118,164,2023-01-15 17:00:00,2,0.03,1282.04,2487.16,305.49
355,270,130,2023-01-15 18:00:00,4,0.22,987.14,3079.88,617.16
356,80,150,2023-01-15 19:00:00,5,0.22,1750.09,6825.35,618.98
357,458,16,2023-01-15 20:00:00,4,0.2,1891.32,6052.22,1132.83
358,93,146,2023-01-15 21:00:00,2,0.07,1256.29,2336.7,617.79
359,266,197,2023-01-15 22:00:00,7,0.13,1552.29,9453.45,1687.84
